hcipy_coeff fpga_coeff error
0.0000000000 0.0000000000 0.0000000000
-0.0108755827 0.0000000000 0.0108755827
-0.0086796284 0.0000000000 0.0086796284
0.6386135817 0.0000000000 -0.6386135817
-0.0078485012 0.0000000000 0.0078485012
-0.0101263523 0.0000000000 0.0101263523
0.0050659180 0.0000000000 -0.0050659180
0.0061028004 0.0000000000 -0.0061028004
-0.0065884590 0.0000000000 0.0065884590
0.0089044571 0.0000000000 -0.0089044571
