input_u16,output_q16_hex,output_q16,div0,sat,norm_shift,lut_idx,a_q1_15,x0_q0_16,x1_q0_16
0,0xFFFF,65535,1,1,0,0,0x0000,0x0000,0x0000
1,0xFFFF,65535,0,0,15,0,0x8000,0xFF80,0xFFFF
2,0x8000,32768,0,0,14,0,0x8000,0xFF80,0xFFFF
3,0x5556,21846,0,0,14,128,0xC000,0xAA72,0xAAAB
4,0x4000,16384,0,0,13,0,0x8000,0xFF80,0xFFFF
5,0x3334,13108,0,0,13,64,0xA000,0xCC7B,0xCCCE
6,0x2AAB,10923,0,0,13,128,0xC000,0xAA72,0xAAAB
7,0x2492,9362,0,0,13,192,0xE000,0x921F,0x9249
8,0x2000,8192,0,0,12,0,0x8000,0xFF80,0xFFFF
9,0x1C72,7282,0,0,12,32,0x9000,0xE329,0xE38E
10,0x199A,6554,0,0,12,64,0xA000,0xCC7B,0xCCCE
11,0x1746,5958,0,0,12,96,0xB000,0xB9EB,0xBA2F
12,0x1555,5461,0,0,12,128,0xC000,0xAA72,0xAAAB
13,0x13B1,5041,0,0,12,160,0xD000,0x9D59,0x9D8A
14,0x1249,4681,0,0,12,192,0xE000,0x921F,0x9249
15,0x1111,4369,0,0,12,224,0xF000,0x8864,0x8889
16,0x1000,4096,0,0,11,0,0x8000,0xFF80,0xFFFF
17,0x0F0F,3855,0,0,11,16,0x8800,0xF080,0xF0F1
18,0x0E39,3641,0,0,11,32,0x9000,0xE329,0xE38E
19,0x0D79,3449,0,0,11,48,0x9800,0xD73A,0xD795
20,0x0CCD,3277,0,0,11,64,0xA000,0xCC7B,0xCCCE
21,0x0C31,3121,0,0,11,80,0xA800,0xC2C2,0xC30D
22,0x0BA3,2979,0,0,11,96,0xB000,0xB9EB,0xBA2F
23,0x0B21,2849,0,0,11,112,0xB800,0xB1D8,0xB217
24,0x0AAB,2731,0,0,11,128,0xC000,0xAA72,0xAAAB
25,0x0A3D,2621,0,0,11,144,0xC800,0xA3A3,0xA3D7
26,0x09D9,2521,0,0,11,160,0xD000,0x9D59,0x9D8A
27,0x097B,2427,0,0,11,176,0xD800,0x9787,0x97B5
28,0x0925,2341,0,0,11,192,0xE000,0x921F,0x9249
29,0x08D4,2260,0,0,11,208,0xE800,0x8D17,0x8D3F
30,0x0889,2185,0,0,11,224,0xF000,0x8864,0x8889
31,0x0842,2114,0,0,11,240,0xF800,0x83FF,0x8421
32,0x0800,2048,0,0,10,0,0x8000,0xFF80,0xFFFF
33,0x07C2,1986,0,0,10,8,0x8400,0xF7C6,0xF83E
34,0x0788,1928,0,0,10,16,0x8800,0xF080,0xF0F1
35,0x0751,1873,0,0,10,24,0x8C00,0xE9A4,0xEA10
36,0x071C,1820,0,0,10,32,0x9000,0xE329,0xE38E
37,0x06EB,1771,0,0,10,40,0x9400,0xDD08,0xDD69
38,0x06BD,1725,0,0,10,48,0x9800,0xD73A,0xD795
39,0x0690,1680,0,0,10,56,0x9C00,0xD1B7,0xD20E
40,0x0666,1638,0,0,10,64,0xA000,0xCC7B,0xCCCE
41,0x063E,1598,0,0,10,72,0xA400,0xC780,0xC7CE
42,0x0618,1560,0,0,10,80,0xA800,0xC2C2,0xC30D
43,0x05F4,1524,0,0,10,88,0xAC00,0xBE3C,0xBE83
44,0x05D1,1489,0,0,10,96,0xB000,0xB9EB,0xBA2F
45,0x05B0,1456,0,0,10,104,0xB400,0xB5CB,0xB60C
46,0x0591,1425,0,0,10,112,0xB800,0xB1D8,0xB217
47,0x0572,1394,0,0,10,120,0xBC00,0xAE11,0xAE4D
48,0x0555,1365,0,0,10,128,0xC000,0xAA72,0xAAAB
49,0x053A,1338,0,0,10,136,0xC400,0xA6F8,0xA730
50,0x051F,1311,0,0,10,144,0xC800,0xA3A3,0xA3D7
51,0x0505,1285,0,0,10,152,0xCC00,0xA06E,0xA0A1
52,0x04EC,1260,0,0,10,160,0xD000,0x9D59,0x9D8A
53,0x04D5,1237,0,0,10,168,0xD400,0x9A62,0x9A91
54,0x04BE,1214,0,0,10,176,0xD800,0x9787,0x97B5
55,0x04A8,1192,0,0,10,184,0xDC00,0x94C7,0x94F2
56,0x0492,1170,0,0,10,192,0xE000,0x921F,0x9249
57,0x047E,1150,0,0,10,200,0xE400,0x8F90,0x8FB8
58,0x046A,1130,0,0,10,208,0xE800,0x8D17,0x8D3F
59,0x0457,1111,0,0,10,216,0xEC00,0x8AB3,0x8AD9
60,0x0444,1092,0,0,10,224,0xF000,0x8864,0x8889
61,0x0432,1074,0,0,10,232,0xF400,0x8628,0x864C
62,0x0421,1057,0,0,10,240,0xF800,0x83FF,0x8421
63,0x0410,1040,0,0,10,248,0xFC00,0x81E7,0x8208
64,0x0400,1024,0,0,9,0,0x8000,0xFF80,0xFFFF
65,0x03F0,1008,0,0,9,4,0x8200,0xFB94,0xFC10
66,0x03E1,993,0,0,9,8,0x8400,0xF7C6,0xF83E
67,0x03D2,978,0,0,9,12,0x8600,0xF415,0xF48B
68,0x03C4,964,0,0,9,16,0x8800,0xF080,0xF0F1
69,0x03B6,950,0,0,9,20,0x8A00,0xED05,0xED74
70,0x03A8,936,0,0,9,24,0x8C00,0xE9A4,0xEA10
71,0x039B,923,0,0,9,28,0x8E00,0xE65B,0xE6C3
72,0x038E,910,0,0,9,32,0x9000,0xE329,0xE38E
73,0x0382,898,0,0,9,36,0x9200,0xE00E,0xE072
74,0x0376,886,0,0,9,40,0x9400,0xDD08,0xDD69
75,0x036A,874,0,0,9,44,0x9600,0xDA17,0xDA75
76,0x035E,862,0,0,9,48,0x9800,0xD73A,0xD795
77,0x0353,851,0,0,9,52,0x9A00,0xD46F,0xD4C9
78,0x0348,840,0,0,9,56,0x9C00,0xD1B7,0xD20E
79,0x033E,830,0,0,9,60,0x9E00,0xCF11,0xCF65
80,0x0333,819,0,0,9,64,0xA000,0xCC7B,0xCCCE
81,0x0329,809,0,0,9,68,0xA200,0xC9F6,0xCA46
82,0x031F,799,0,0,9,72,0xA400,0xC780,0xC7CE
83,0x0316,790,0,0,9,76,0xA600,0xC51A,0xC567
84,0x030C,780,0,0,9,80,0xA800,0xC2C2,0xC30D
85,0x0303,771,0,0,9,84,0xAA00,0xC078,0xC0C2
86,0x02FA,762,0,0,9,88,0xAC00,0xBE3C,0xBE83
87,0x02F1,753,0,0,9,92,0xAE00,0xBC0D,0xBC54
88,0x02E9,745,0,0,9,96,0xB000,0xB9EB,0xBA2F
89,0x02E0,736,0,0,9,100,0xB200,0xB7D5,0xB817
90,0x02D8,728,0,0,9,104,0xB400,0xB5CB,0xB60C
91,0x02D0,720,0,0,9,108,0xB600,0xB3CC,0xB40B
92,0x02C8,712,0,0,9,112,0xB800,0xB1D8,0xB217
93,0x02C1,705,0,0,9,116,0xBA00,0xAFF0,0xB02C
94,0x02B9,697,0,0,9,120,0xBC00,0xAE11,0xAE4D
95,0x02B2,690,0,0,9,124,0xBE00,0xAC3D,0xAC77
96,0x02AB,683,0,0,9,128,0xC000,0xAA72,0xAAAB
97,0x02A4,676,0,0,9,132,0xC200,0xA8B1,0xA8E8
98,0x029D,669,0,0,9,136,0xC400,0xA6F8,0xA730
99,0x0296,662,0,0,9,140,0xC600,0xA549,0xA57F
100,0x028F,655,0,0,9,144,0xC800,0xA3A3,0xA3D7
101,0x0289,649,0,0,9,148,0xCA00,0xA204,0xA238
102,0x0283,643,0,0,9,152,0xCC00,0xA06E,0xA0A1
103,0x027C,636,0,0,9,156,0xCE00,0x9EE0,0x9F12
104,0x0276,630,0,0,9,160,0xD000,0x9D59,0x9D8A
105,0x0270,624,0,0,9,164,0xD200,0x9BDA,0x9C0B
106,0x026A,618,0,0,9,168,0xD400,0x9A62,0x9A91
107,0x0265,613,0,0,9,172,0xD600,0x98F1,0x9920
108,0x025F,607,0,0,9,176,0xD800,0x9787,0x97B5
109,0x0259,601,0,0,9,180,0xDA00,0x9624,0x9651
110,0x0254,596,0,0,9,184,0xDC00,0x94C7,0x94F2
111,0x024E,590,0,0,9,188,0xDE00,0x9370,0x939B
112,0x0249,585,0,0,9,192,0xE000,0x921F,0x9249
113,0x0244,580,0,0,9,196,0xE200,0x90D5,0x90FE
114,0x023F,575,0,0,9,200,0xE400,0x8F90,0x8FB8
115,0x023A,570,0,0,9,204,0xE600,0x8E51,0x8E79
116,0x0235,565,0,0,9,208,0xE800,0x8D17,0x8D3F
117,0x0230,560,0,0,9,212,0xEA00,0x8BE2,0x8C09
118,0x022B,555,0,0,9,216,0xEC00,0x8AB3,0x8AD9
119,0x0227,551,0,0,9,220,0xEE00,0x8989,0x89AF
120,0x0222,546,0,0,9,224,0xF000,0x8864,0x8889
121,0x021E,542,0,0,9,228,0xF200,0x8744,0x8768
122,0x0219,537,0,0,9,232,0xF400,0x8628,0x864C
123,0x0215,533,0,0,9,236,0xF600,0x8511,0x8534
124,0x0211,529,0,0,9,240,0xF800,0x83FF,0x8421
125,0x020C,524,0,0,9,244,0xFA00,0x82F1,0x8313
126,0x0208,520,0,0,9,248,0xFC00,0x81E7,0x8208
127,0x0204,516,0,0,9,252,0xFE00,0x80E2,0x8102
128,0x0200,512,0,0,8,0,0x8000,0xFF80,0xFFFF
129,0x01FC,508,0,0,8,2,0x8100,0xFD86,0xFE05
130,0x01F8,504,0,0,8,4,0x8200,0xFB94,0xFC10
131,0x01F4,500,0,0,8,6,0x8300,0xF9A9,0xFA24
132,0x01F0,496,0,0,8,8,0x8400,0xF7C6,0xF83E
133,0x01ED,493,0,0,8,10,0x8500,0xF5EA,0xF661
134,0x01E9,489,0,0,8,12,0x8600,0xF415,0xF48B
135,0x01E5,485,0,0,8,14,0x8700,0xF247,0xF2BA
136,0x01E2,482,0,0,8,16,0x8800,0xF080,0xF0F1
137,0x01DE,478,0,0,8,18,0x8900,0xEEBF,0xEF2F
138,0x01DB,475,0,0,8,20,0x8A00,0xED05,0xED74
139,0x01D7,471,0,0,8,22,0x8B00,0xEB51,0xEBBF
140,0x01D4,468,0,0,8,24,0x8C00,0xE9A4,0xEA10
141,0x01D1,465,0,0,8,26,0x8D00,0xE7FC,0xE867
142,0x01CE,462,0,0,8,28,0x8E00,0xE65B,0xE6C3
143,0x01CA,458,0,0,8,30,0x8F00,0xE4BF,0xE527
144,0x01C7,455,0,0,8,32,0x9000,0xE329,0xE38E
145,0x01C4,452,0,0,8,34,0x9100,0xE199,0xE1FD
146,0x01C1,449,0,0,8,36,0x9200,0xE00E,0xE072
147,0x01BE,446,0,0,8,38,0x9300,0xDE88,0xDEE9
148,0x01BB,443,0,0,8,40,0x9400,0xDD08,0xDD69
149,0x01B8,440,0,0,8,42,0x9500,0xDB8D,0xDBEB
150,0x01B5,437,0,0,8,44,0x9600,0xDA17,0xDA75
151,0x01B2,434,0,0,8,46,0x9700,0xD8A6,0xD903
152,0x01AF,431,0,0,8,48,0x9800,0xD73A,0xD795
153,0x01AC,428,0,0,8,50,0x9900,0xD5D2,0xD62C
154,0x01AA,426,0,0,8,52,0x9A00,0xD46F,0xD4C9
155,0x01A7,423,0,0,8,54,0x9B00,0xD311,0xD368
156,0x01A4,420,0,0,8,56,0x9C00,0xD1B7,0xD20E
157,0x01A1,417,0,0,8,58,0x9D00,0xD062,0xD0B7
158,0x019F,415,0,0,8,60,0x9E00,0xCF11,0xCF65
159,0x019C,412,0,0,8,62,0x9F00,0xCDC4,0xCE18
160,0x019A,410,0,0,8,64,0xA000,0xCC7B,0xCCCE
161,0x0197,407,0,0,8,66,0xA100,0xCB36,0xCB89
162,0x0195,405,0,0,8,68,0xA200,0xC9F6,0xCA46
163,0x0192,402,0,0,8,70,0xA300,0xC8B9,0xC909
164,0x0190,400,0,0,8,72,0xA400,0xC780,0xC7CE
165,0x018D,397,0,0,8,74,0xA500,0xC64B,0xC698
166,0x018B,395,0,0,8,76,0xA600,0xC51A,0xC567
167,0x0188,392,0,0,8,78,0xA700,0xC3EC,0xC439
168,0x0186,390,0,0,8,80,0xA800,0xC2C2,0xC30D
169,0x0184,388,0,0,8,82,0xA900,0xC19B,0xC1E5
170,0x0182,386,0,0,8,84,0xAA00,0xC078,0xC0C2
171,0x017F,383,0,0,8,86,0xAB00,0xBF59,0xBFA1
172,0x017D,381,0,0,8,88,0xAC00,0xBE3C,0xBE83
173,0x017B,379,0,0,8,90,0xAD00,0xBD23,0xBD6A
174,0x0179,377,0,0,8,92,0xAE00,0xBC0D,0xBC54
175,0x0177,375,0,0,8,94,0xAF00,0xBAFB,0xBB40
176,0x0174,372,0,0,8,96,0xB000,0xB9EB,0xBA2F
177,0x0172,370,0,0,8,98,0xB100,0xB8DE,0xB922
178,0x0170,368,0,0,8,100,0xB200,0xB7D5,0xB817
179,0x016E,366,0,0,8,102,0xB300,0xB6CE,0xB710
180,0x016C,364,0,0,8,104,0xB400,0xB5CB,0xB60C
181,0x016A,362,0,0,8,106,0xB500,0xB4CA,0xB50B
182,0x0168,360,0,0,8,108,0xB600,0xB3CC,0xB40B
183,0x0166,358,0,0,8,110,0xB700,0xB2D1,0xB310
184,0x0164,356,0,0,8,112,0xB800,0xB1D8,0xB217
185,0x0162,354,0,0,8,114,0xB900,0xB0E3,0xB120
186,0x0160,352,0,0,8,116,0xBA00,0xAFF0,0xB02C
187,0x015E,350,0,0,8,118,0xBB00,0xAEFF,0xAF3B
188,0x015D,349,0,0,8,120,0xBC00,0xAE11,0xAE4D
189,0x015B,347,0,0,8,122,0xBD00,0xAD26,0xAD60
190,0x0159,345,0,0,8,124,0xBE00,0xAC3D,0xAC77
191,0x0157,343,0,0,8,126,0xBF00,0xAB56,0xAB90
192,0x0155,341,0,0,8,128,0xC000,0xAA72,0xAAAB
193,0x0154,340,0,0,8,130,0xC100,0xA990,0xA9C9
194,0x0152,338,0,0,8,132,0xC200,0xA8B1,0xA8E8
195,0x0150,336,0,0,8,134,0xC300,0xA7D3,0xA80B
196,0x014E,334,0,0,8,136,0xC400,0xA6F8,0xA730
197,0x014D,333,0,0,8,138,0xC500,0xA620,0xA657
198,0x014B,331,0,0,8,140,0xC600,0xA549,0xA57F
199,0x0149,329,0,0,8,142,0xC700,0xA475,0xA4AB
200,0x0148,328,0,0,8,144,0xC800,0xA3A3,0xA3D7
201,0x0146,326,0,0,8,146,0xC900,0xA2D3,0xA307
202,0x0144,324,0,0,8,148,0xCA00,0xA204,0xA238
203,0x0143,323,0,0,8,150,0xCB00,0xA138,0xA16C
204,0x0141,321,0,0,8,152,0xCC00,0xA06E,0xA0A1
205,0x0140,320,0,0,8,154,0xCD00,0x9FA6,0x9FD9
206,0x013E,318,0,0,8,156,0xCE00,0x9EE0,0x9F12
207,0x013D,317,0,0,8,158,0xCF00,0x9E1C,0x9E4D
208,0x013B,315,0,0,8,160,0xD000,0x9D59,0x9D8A
209,0x013A,314,0,0,8,162,0xD100,0x9C99,0x9CCA
210,0x0138,312,0,0,8,164,0xD200,0x9BDA,0x9C0B
211,0x0137,311,0,0,8,166,0xD300,0x9B1D,0x9B4D
212,0x0135,309,0,0,8,168,0xD400,0x9A62,0x9A91
213,0x0134,308,0,0,8,170,0xD500,0x99A9,0x99D8
214,0x0132,306,0,0,8,172,0xD600,0x98F1,0x9920
215,0x0131,305,0,0,8,174,0xD700,0x983B,0x9869
216,0x012F,303,0,0,8,176,0xD800,0x9787,0x97B5
217,0x012E,302,0,0,8,178,0xD900,0x96D5,0x9702
218,0x012D,301,0,0,8,180,0xDA00,0x9624,0x9651
219,0x012B,299,0,0,8,182,0xDB00,0x9574,0x95A0
220,0x012A,298,0,0,8,184,0xDC00,0x94C7,0x94F2
221,0x0129,297,0,0,8,186,0xDD00,0x941B,0x9446
222,0x0127,295,0,0,8,188,0xDE00,0x9370,0x939B
223,0x0126,294,0,0,8,190,0xDF00,0x92C7,0x92F1
224,0x0125,293,0,0,8,192,0xE000,0x921F,0x9249
225,0x0123,291,0,0,8,194,0xE100,0x9179,0x91A3
226,0x0122,290,0,0,8,196,0xE200,0x90D5,0x90FE
227,0x0121,289,0,0,8,198,0xE300,0x9032,0x905B
228,0x011F,287,0,0,8,200,0xE400,0x8F90,0x8FB8
229,0x011E,286,0,0,8,202,0xE500,0x8EF0,0x8F18
230,0x011D,285,0,0,8,204,0xE600,0x8E51,0x8E79
231,0x011C,284,0,0,8,206,0xE700,0x8DB3,0x8DDB
232,0x011A,282,0,0,8,208,0xE800,0x8D17,0x8D3F
233,0x0119,281,0,0,8,210,0xE900,0x8C7C,0x8CA4
234,0x0118,280,0,0,8,212,0xEA00,0x8BE2,0x8C09
235,0x0117,279,0,0,8,214,0xEB00,0x8B4A,0x8B71
236,0x0116,278,0,0,8,216,0xEC00,0x8AB3,0x8AD9
237,0x0115,277,0,0,8,218,0xED00,0x8A1E,0x8A44
238,0x0113,275,0,0,8,220,0xEE00,0x8989,0x89AF
239,0x0112,274,0,0,8,222,0xEF00,0x88F6,0x891B
240,0x0111,273,0,0,8,224,0xF000,0x8864,0x8889
241,0x0110,272,0,0,8,226,0xF100,0x87D3,0x87F8
242,0x010F,271,0,0,8,228,0xF200,0x8744,0x8768
243,0x010E,270,0,0,8,230,0xF300,0x86B6,0x86DA
244,0x010D,269,0,0,8,232,0xF400,0x8628,0x864C
245,0x010B,267,0,0,8,234,0xF500,0x859C,0x85BF
246,0x010A,266,0,0,8,236,0xF600,0x8511,0x8534
247,0x0109,265,0,0,8,238,0xF700,0x8488,0x84AA
248,0x0108,264,0,0,8,240,0xF800,0x83FF,0x8421
249,0x0107,263,0,0,8,242,0xF900,0x8377,0x839A
250,0x0106,262,0,0,8,244,0xFA00,0x82F1,0x8313
251,0x0105,261,0,0,8,246,0xFB00,0x826B,0x828E
252,0x0104,260,0,0,8,248,0xFC00,0x81E7,0x8208
253,0x0103,259,0,0,8,250,0xFD00,0x8164,0x8185
254,0x0102,258,0,0,8,252,0xFE00,0x80E2,0x8102
255,0x0101,257,0,0,8,254,0xFF00,0x8060,0x8081
256,0x0100,256,0,0,7,0,0x8000,0xFF80,0xFFFF
257,0x00FF,255,0,0,7,1,0x8080,0xFE82,0xFF01
258,0x00FE,254,0,0,7,2,0x8100,0xFD86,0xFE05
259,0x00FD,253,0,0,7,3,0x8180,0xFC8C,0xFD0A
260,0x00FC,252,0,0,7,4,0x8200,0xFB94,0xFC10
261,0x00FB,251,0,0,7,5,0x8280,0xFA9E,0xFB19
262,0x00FA,250,0,0,7,6,0x8300,0xF9A9,0xFA24
263,0x00F9,249,0,0,7,7,0x8380,0xF8B7,0xF92F
264,0x00F8,248,0,0,7,8,0x8400,0xF7C6,0xF83E
265,0x00F7,247,0,0,7,9,0x8480,0xF6D7,0xF74F
266,0x00F6,246,0,0,7,10,0x8500,0xF5EA,0xF661
267,0x00F5,245,0,0,7,11,0x8580,0xF4FF,0xF576
268,0x00F5,245,0,0,7,12,0x8600,0xF415,0xF48B
269,0x00F4,244,0,0,7,13,0x8680,0xF32D,0xF3A1
270,0x00F3,243,0,0,7,14,0x8700,0xF247,0xF2BA
271,0x00F2,242,0,0,7,15,0x8780,0xF163,0xF1D6
272,0x00F1,241,0,0,7,16,0x8800,0xF080,0xF0F1
273,0x00F0,240,0,0,7,17,0x8880,0xEF9F,0xF00F
274,0x00EF,239,0,0,7,18,0x8900,0xEEBF,0xEF2F
275,0x00EE,238,0,0,7,19,0x8980,0xEDE1,0xEE51
276,0x00ED,237,0,0,7,20,0x8A00,0xED05,0xED74
277,0x00ED,237,0,0,7,21,0x8A80,0xEC2A,0xEC99
278,0x00EC,236,0,0,7,22,0x8B00,0xEB51,0xEBBF
279,0x00EB,235,0,0,7,23,0x8B80,0xEA7A,0xEAE6
280,0x00EA,234,0,0,7,24,0x8C00,0xE9A4,0xEA10
281,0x00E9,233,0,0,7,25,0x8C80,0xE8CF,0xE93A
282,0x00E8,232,0,0,7,26,0x8D00,0xE7FC,0xE867
283,0x00E8,232,0,0,7,27,0x8D80,0xE72B,0xE794
284,0x00E7,231,0,0,7,28,0x8E00,0xE65B,0xE6C3
285,0x00E6,230,0,0,7,29,0x8E80,0xE58C,0xE5F4
286,0x00E5,229,0,0,7,30,0x8F00,0xE4BF,0xE527
287,0x00E4,228,0,0,7,31,0x8F80,0xE3F4,0xE45A
288,0x00E4,228,0,0,7,32,0x9000,0xE329,0xE38E
289,0x00E3,227,0,0,7,33,0x9080,0xE260,0xE2C5
290,0x00E2,226,0,0,7,34,0x9100,0xE199,0xE1FD
291,0x00E1,225,0,0,7,35,0x9180,0xE0D3,0xE137
292,0x00E0,224,0,0,7,36,0x9200,0xE00E,0xE072
293,0x00E0,224,0,0,7,37,0x9280,0xDF4B,0xDFAD
294,0x00DF,223,0,0,7,38,0x9300,0xDE88,0xDEE9
295,0x00DE,222,0,0,7,39,0x9380,0xDDC8,0xDE29
296,0x00DD,221,0,0,7,40,0x9400,0xDD08,0xDD69
297,0x00DD,221,0,0,7,41,0x9480,0xDC4A,0xDCAA
298,0x00DC,220,0,0,7,42,0x9500,0xDB8D,0xDBEB
299,0x00DB,219,0,0,7,43,0x9580,0xDAD1,0xDB2F
300,0x00DA,218,0,0,7,44,0x9600,0xDA17,0xDA75
301,0x00DA,218,0,0,7,45,0x9680,0xD95E,0xD9BB
302,0x00D9,217,0,0,7,46,0x9700,0xD8A6,0xD903
303,0x00D8,216,0,0,7,47,0x9780,0xD7EF,0xD84C
304,0x00D8,216,0,0,7,48,0x9800,0xD73A,0xD795
305,0x00D7,215,0,0,7,49,0x9880,0xD685,0xD6E0
306,0x00D6,214,0,0,7,50,0x9900,0xD5D2,0xD62C
307,0x00D5,213,0,0,7,51,0x9980,0xD520,0xD57A
308,0x00D5,213,0,0,7,52,0x9A00,0xD46F,0xD4C9
309,0x00D4,212,0,0,7,53,0x9A80,0xD3BF,0xD418
310,0x00D3,211,0,0,7,54,0x9B00,0xD311,0xD368
311,0x00D3,211,0,0,7,55,0x9B80,0xD263,0xD2BA
312,0x00D2,210,0,0,7,56,0x9C00,0xD1B7,0xD20E
313,0x00D1,209,0,0,7,57,0x9C80,0xD10C,0xD163
314,0x00D1,209,0,0,7,58,0x9D00,0xD062,0xD0B7
315,0x00D0,208,0,0,7,59,0x9D80,0xCFB9,0xD00D
316,0x00CF,207,0,0,7,60,0x9E00,0xCF11,0xCF65
317,0x00CF,207,0,0,7,61,0x9E80,0xCE6A,0xCEBE
318,0x00CE,206,0,0,7,62,0x9F00,0xCDC4,0xCE18
319,0x00CD,205,0,0,7,63,0x9F80,0xCD1F,0xCD72
320,0x00CD,205,0,0,7,64,0xA000,0xCC7B,0xCCCE
321,0x00CC,204,0,0,7,65,0xA080,0xCBD8,0xCC2B
322,0x00CC,204,0,0,7,66,0xA100,0xCB36,0xCB89
323,0x00CB,203,0,0,7,67,0xA180,0xCA96,0xCAE7
324,0x00CA,202,0,0,7,68,0xA200,0xC9F6,0xCA46
325,0x00CA,202,0,0,7,69,0xA280,0xC957,0xC9A7
326,0x00C9,201,0,0,7,70,0xA300,0xC8B9,0xC909
327,0x00C8,200,0,0,7,71,0xA380,0xC81C,0xC86C
328,0x00C8,200,0,0,7,72,0xA400,0xC780,0xC7CE
329,0x00C7,199,0,0,7,73,0xA480,0xC6E5,0xC733
330,0x00C7,199,0,0,7,74,0xA500,0xC64B,0xC698
331,0x00C6,198,0,0,7,75,0xA580,0xC5B2,0xC5FF
332,0x00C5,197,0,0,7,76,0xA600,0xC51A,0xC567
333,0x00C5,197,0,0,7,77,0xA680,0xC482,0xC4CF
334,0x00C4,196,0,0,7,78,0xA700,0xC3EC,0xC439
335,0x00C4,196,0,0,7,79,0xA780,0xC357,0xC3A2
336,0x00C3,195,0,0,7,80,0xA800,0xC2C2,0xC30D
337,0x00C2,194,0,0,7,81,0xA880,0xC22E,0xC278
338,0x00C2,194,0,0,7,82,0xA900,0xC19B,0xC1E5
339,0x00C1,193,0,0,7,83,0xA980,0xC109,0xC153
340,0x00C1,193,0,0,7,84,0xAA00,0xC078,0xC0C2
341,0x00C0,192,0,0,7,85,0xAA80,0xBFE8,0xC030
342,0x00C0,192,0,0,7,86,0xAB00,0xBF59,0xBFA1
343,0x00BF,191,0,0,7,87,0xAB80,0xBECA,0xBF12
344,0x00BF,191,0,0,7,88,0xAC00,0xBE3C,0xBE83
345,0x00BE,190,0,0,7,89,0xAC80,0xBDAF,0xBDF6
346,0x00BD,189,0,0,7,90,0xAD00,0xBD23,0xBD6A
347,0x00BD,189,0,0,7,91,0xAD80,0xBC98,0xBCDD
348,0x00BC,188,0,0,7,92,0xAE00,0xBC0D,0xBC54
349,0x00BC,188,0,0,7,93,0xAE80,0xBB83,0xBBC9
350,0x00BB,187,0,0,7,94,0xAF00,0xBAFB,0xBB40
351,0x00BB,187,0,0,7,95,0xAF80,0xBA72,0xBAB6
352,0x00BA,186,0,0,7,96,0xB000,0xB9EB,0xBA2F
353,0x00BA,186,0,0,7,97,0xB080,0xB964,0xB9A8
354,0x00B9,185,0,0,7,98,0xB100,0xB8DE,0xB922
355,0x00B9,185,0,0,7,99,0xB180,0xB859,0xB89D
356,0x00B8,184,0,0,7,100,0xB200,0xB7D5,0xB817
357,0x00B8,184,0,0,7,101,0xB280,0xB751,0xB794
358,0x00B7,183,0,0,7,102,0xB300,0xB6CE,0xB710
359,0x00B7,183,0,0,7,103,0xB380,0xB64C,0xB68E
360,0x00B6,182,0,0,7,104,0xB400,0xB5CB,0xB60C
361,0x00B6,182,0,0,7,105,0xB480,0xB54A,0xB58B
362,0x00B5,181,0,0,7,106,0xB500,0xB4CA,0xB50B
363,0x00B5,181,0,0,7,107,0xB580,0xB44B,0xB48A
364,0x00B4,180,0,0,7,108,0xB600,0xB3CC,0xB40B
365,0x00B4,180,0,0,7,109,0xB680,0xB34E,0xB38D
366,0x00B3,179,0,0,7,110,0xB700,0xB2D1,0xB310
367,0x00B3,179,0,0,7,111,0xB780,0xB254,0xB293
368,0x00B2,178,0,0,7,112,0xB800,0xB1D8,0xB217
369,0x00B2,178,0,0,7,113,0xB880,0xB15D,0xB19B
370,0x00B1,177,0,0,7,114,0xB900,0xB0E3,0xB120
371,0x00B1,177,0,0,7,115,0xB980,0xB069,0xB0A6
372,0x00B0,176,0,0,7,116,0xBA00,0xAFF0,0xB02C
373,0x00B0,176,0,0,7,117,0xBA80,0xAF77,0xAFB3
374,0x00AF,175,0,0,7,118,0xBB00,0xAEFF,0xAF3B
375,0x00AF,175,0,0,7,119,0xBB80,0xAE88,0xAEC4
376,0x00AE,174,0,0,7,120,0xBC00,0xAE11,0xAE4D
377,0x00AE,174,0,0,7,121,0xBC80,0xAD9B,0xADD7
378,0x00AD,173,0,0,7,122,0xBD00,0xAD26,0xAD60
379,0x00AD,173,0,0,7,123,0xBD80,0xACB1,0xACEB
380,0x00AC,172,0,0,7,124,0xBE00,0xAC3D,0xAC77
381,0x00AC,172,0,0,7,125,0xBE80,0xABC9,0xAC03
382,0x00AC,172,0,0,7,126,0xBF00,0xAB56,0xAB90
383,0x00AB,171,0,0,7,127,0xBF80,0xAAE4,0xAB1D
384,0x00AB,171,0,0,7,128,0xC000,0xAA72,0xAAAB
385,0x00AA,170,0,0,7,129,0xC080,0xAA01,0xAA3A
386,0x00AA,170,0,0,7,130,0xC100,0xA990,0xA9C9
387,0x00A9,169,0,0,7,131,0xC180,0xA920,0xA959
388,0x00A9,169,0,0,7,132,0xC200,0xA8B1,0xA8E8
389,0x00A8,168,0,0,7,133,0xC280,0xA842,0xA879
390,0x00A8,168,0,0,7,134,0xC300,0xA7D3,0xA80B
391,0x00A8,168,0,0,7,135,0xC380,0xA766,0xA79D
392,0x00A7,167,0,0,7,136,0xC400,0xA6F8,0xA730
393,0x00A7,167,0,0,7,137,0xC480,0xA68C,0xA6C3
394,0x00A6,166,0,0,7,138,0xC500,0xA620,0xA657
